ZONE_ID;STADSDELEN;BC;GEBIED_ACTWAG;ZONE_VENOM;GEM2014;GEMEENTE;BUURT_ZONENAAM;PC4;LAND;PROV;COROP;HAVEN_IND;XCOORD;YCOORD;OPP;HUISH;INK_GEM;ACT_WAG;INWONERS;M_00_05;M_06_11;M_12_14;M_15_17;M_18_34;M_35_54;M_55_64;M_65_74;M_75_EO;V_00_05;V_06_11;V_12_14;V_15_17;V_18_34;V_35_54;V_55_64;V_65_74;V_75_EO;BBV_MAN;WERKZ_M;PT_MAN;BBV_VROUW;WERKZ_V;PT_VROUW;HOWEEK;MBOWEEK;HOWKND;MBOWKND;BANENTOT2;ZELFST;BANENTOT;LANDBOUW;INDUSTRIE;DETAIL;DIENSTEN;OVERHEID;OVERIG;BASIS_OW;SPEC_OW;VOORTG_OW;MBO;HBO_WO;hotelbedden;PT_KP;PZT_H;PZT_B;AVert;AAank;
1;1;A00a;1;1;363;Amsterdam;Kop_Zeedijk;1012;1;7;23;0;121853;487649;8;756;33114;134;1100;14;3;1;3;249;213;96;41;8;18;11;1;2;256;118;37;24;5;479;455;30;294;274;95;45;3;4;0;1647;308;1955;0;48;147;281;2;1477;0;0;0;0;0;1934;750;7.5;7.5;1;1;
2;1;A00b;1;1;363;Amsterdam;Oude_Kerk_eo;1012;1;7;23;0;121603;487527;4;287;32270;28;385;7;1;1;0;106;61;16;16;6;2;0;1;0;121;22;9;12;4;158;150;10;111;103;36;20;1;1;0;1488;552;2040;0;9;84;889;14;1044;0;0;0;0;0;1019;750;7.5;7.5;1;1;
3;1;A00b;1;1;363;Amsterdam;Oude_Kerk_eo;1012;1;7;23;0;121464;487396;5;225;32270;48;343;10;0;2;1;107;38;24;16;2;5;1;0;2;85;24;16;10;0;149;141;10;92;86;30;17;1;1;0;1651;103;1754;0;15;854;234;2;649;0;0;0;0;0;1230;750;7.5;7.5;1;1;
4;1;A00c;1;1;363;Amsterdam;Burgwallen_Oost;1012;1;7;23;0;121696;487377;3;375;31801;71;578;8;8;2;4;145;81;20;30;9;4;4;6;1;159;50;12;14;21;224;213;14;158;147;52;28;1;2;0;644;158;802;0;26;88;270;0;418;0;0;0;0;0;159;750;7.5;7.5;1;1;
5;1;A00c;1;1;363;Amsterdam;Burgwallen_Oost;1012;1;7;23;0;121764;487318;5;695;31801;146;1035;12;11;5;7;221;173;62;40;19;12;11;4;2;274;100;39;35;8;401;381;26;302;282;99;44;3;4;0;1332;323;1655;0;28;277;483;0;867;0;0;0;0;0;331;750;7.5;7.5;1;1;
6;1;A00e;1;4;363;Amsterdam;BG-terrein_eo;1012;1;7;23;0;121532;486924;8;339;34709;75;456;3;5;0;1;116;58;37;20;8;2;6;1;2;119;34;23;19;2;180;171;12;125;116;41;25;1;3;0;1745;122;1867;0;1;54;334;893;585;0;0;0;0;10126;971;750;7.5;7.5;1;1;
7;1;A00e;1;4;363;Amsterdam;BG-terrein_eo;1012;1;7;23;0;121521;487110;2;131;34709;43;217;9;1;0;0;47;42;9;7;8;5;1;2;2;45;20;5;7;7;82;77;6;51;48;17;10;0;1;0;424;59;483;0;0;46;101;3;333;0;0;0;0;0;355;750;7.5;7.5;1;1;
8;1;A00d;1;4;363;Amsterdam;Nes_eo;1012;1;7;23;0;121399;487114;6;226;43809;64;351;4;1;2;3;96;59;19;8;3;5;4;2;2;86;35;7;11;4;144;136;9;89;83;30;19;1;2;0;2421;125;2546;0;46;464;967;6;1063;0;0;0;0;0;666;750;7.5;7.5;1;1;
9;1;A01a;1;5;363;Amsterdam;Stationsplein_eo;1012;1;7;23;0;121861;488041;17;1;35460;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2877;14;2891;0;12;336;205;77;2261;0;0;0;0;0;816;750;7.5;7.5;1;1;
10;1;A01b;1;2;363;Amsterdam;Hemelrijk;1012;1;7;23;0;121477;487928;6;397;37523;100;577;3;2;4;2;155;106;24;19;6;11;2;1;2;142;68;14;13;3;244;231;15;160;149;53;27;1;2;0;1344;168;1512;0;31;277;457;1;746;0;0;0;0;0;1475;750;7.5;7.5;1;1;
11;1;A01c;1;2;363;Amsterdam;Nieuwendijk_Noord;1012;1;7;23;0;121556;487822;3;232;32739;37;330;1;5;0;1;95;57;18;5;7;6;3;1;0;96;23;8;4;0;141;134;9;88;82;29;17;1;1;0;899;86;985;0;1;170;162;201;451;0;0;0;0;0;1151;750;7.5;7.5;1;1;
12;1;A01c;1;1;363;Amsterdam;Nieuwendijk_Noord;1012;1;7;23;0;121670;487786;3;81;32739;25;133;0;0;0;0;46;23;9;5;0;0;0;1;0;40;5;3;1;0;66;63;4;33;31;11;8;0;1;0;825;50;875;0;1;185;144;0;545;0;0;0;0;0;815;750;7.5;7.5;1;1;
