[('Deletio;GEOMETRY
1;POLYGON ((629295.4389924463 5804417.705691342, 629200.3305584732 5804471.291141983, 629191.4712046331 5804461.248287433, 629136.6726375723 5804497.684441664, 629309.222828435 5804702.287309298, 629312.6967252397 5804705.732715629, 629493.4215527372 5804696.656526476, 629491.3911818853 5804578.956475591, 629425.2241992916 5804356.416494442, 629349.5080436701 5804392.172363259, 629295.4389924463 5804417.705691342))
2;POLYGON ((629093.2474450197 5804523.408898348, 629136.6726375723 5804497.684441664, 629191.4712046331 5804461.248287433, 629200.3305584732 5804471.291141983, 629295.4389924463 5804417.705691342, 629193.728670245 5804271.024077618, 629075.4969089169 5804320.727434467, 629057.5517204024 5804299.714421149, 628971.4562942815 5804352.261775712, 629093.2474450197 5804523.408898348))
3;POLYGON ((629193.728670245 5804271.024077618, 629065.8849821609 5804089.323132128, 628918.7299698391 5804163.220505409, 628866.6380262931 5804178.022295867, 628902.7559774392 5804266.78654698, 628956.5684898881 5804333.738734226, 628971.4562942815 5804352.261775712, 629057.5517204024 5804299.714421149, 629075.4969089169 5804320.727434467, 629193.728670245 5804271.024077618))
4;POLYGON ((629349.5080436701 5804392.172363259, 629135.3826161638 5804052.715669769, 629065.8849821609 5804089.323132128, 629193.728670245 5804271.024077618, 629295.4389924463 5804417.705691342, 629349.5080436701 5804392.172363259))
5;POLYGON ((629135.3826161638 5804052.715669769, 629349.5080436701 5804392.172363259, 629425.2241992916 5804356.416494442, 629409.3371921445 5804277.15573048, 629405.6324391111 5804258.672621527, 629387.7003775645 5804224.867590781, 629356.2568282819 5804224.024049813, 629322.6796863732 5804143.874755991, 629340.073986141 5804135.0836737305, 629264.8244895585 5803995.740223301, 629135.3826161638 5804052.715669769))
6;POLYGON ((628963.2730733117 5803794.824940303, 629000.0089988633 5803797.538092316, 629135.3826161638 5804052.715669769, 629264.8244895585 5803995.740223301, 629035.4373766748 5803595.877309907, 628958.8302138469 5803579.943576082, 628872.6708306606 5803691.14535277, 628836.3036654443 5803774.822164517, 628963.2730733117 5803794.824940303))
7;POLYGON ((629065.8849821609 5804089.323132128, 629135.3826161638 5804052.715669769, 629000.0089988633 5803797.538092316, 628963.2730733117 5803794.824940303, 628988.3362190423 5803941.6811697, 629005.3574414356 5803998.502195596, 629065.8849821609 5804089.323132128))
8;POLYGON ((628866.6380262931 5804178.022295867, 628918.7299698391 5804163.220505409, 629065.8849821609 5804089.323132128, 629005.3574414356 5803998.502195596, 628988.3362190423 5803941.6811697, 628963.2730733117 5803794.824940303, 628836.3036654443 5803774.822164517, 628811.1388441111 5803770.922465602, 628848.1138826582 5803959.788328346, 628866.6380262931 5804178.022295867))
9;POLYGON ((629027.9347654323 5804972.118058841, 629059.7917969623 5805018.920768986, 629145.9379607588 5805152.38814234, 629691.9502469372 5804874.182187966, 629562.6327589739 5804654.536153835, 629493.4215527372 5804696.656526476, 629312.6967252397 5804705.732715629, 629226.0857968467 5804782.173853584, 629163.7302206876 5804841.946872913, 629027.9347654323 5804972.118058841))
10;POLYGON ((628937.4722490555 5804615.337312709, 628797.412940483 5804656.962914367, 628923.519155813 5804853.022495184, 629027.9347654323 5804972.118058841, 629163.7302206876 5804841.946872913, 629116.8029377373 5804774.96255023, 629040.7011171341 5804741.657735858, 628979.9614692398 5804654.832868341, 628937.4722490555 5804615.337312709))
