ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
26073;07:00:00;628068.5555076278 5809715.895681109;628520.5400589094 5809736.391270219;PersonalVehicle
12515;07:00:00;625506.3564786583 5800324.4571683705;625817.0158322025 5802305.126417828;PersonalVehicle
18883;07:00:00;625506.3564786583 5800324.4571683705;630311.6526074877 5801154.261038382;PersonalVehicle
37540;07:00:00;631913.9173730104 5808124.069404383;631051.495763265 5805387.893902379;PersonalVehicle
15310;07:00:00;628018.3693906097 5802603.307566964;625506.3564786583 5800324.4571683705;PersonalVehicle
26106;07:00:01;628984.0528065208 5809954.639549839;630213.5861772824 5802668.390269957;PersonalVehicle
20042;07:00:01;630843.1622044824 5802421.776407389;632357.7464165204 5800288.209577048;PersonalVehicle
36794;07:00:01;631913.9173730104 5808124.069404383;625646.8030724141 5806901.830403392;PersonalVehicle
27662;07:00:01;630183.5331450534 5808099.044842814;630541.4161842077 5805434.362692473;PersonalVehicle
21242;07:00:02;632669.6745564421 5804069.518819185;632357.7464165204 5800288.209577048;PersonalVehicle
3823;07:00:02;627628.8725770606 5803324.884548898;630033.9892020524 5802532.048065576;PersonalVehicle
21812;07:00:02;631095.365263449 5804923.82094355;633099.7965102409 5800992.88826502;PersonalVehicle
2734;07:00:02;627417.8581878557 5806335.667596416;625495.2665135056 5806727.877555828;PersonalVehicle
20723;07:00:03;632444.492918614 5803436.4525484;634114.9628008456 5804339.587989593;PersonalVehicle
1514;07:00:03;630703.2079707176 5804291.460411514;630686.9080327023 5804693.974495777;PersonalVehicle
13687;07:00:03;629656.0897813482 5802522.640169329;630311.6526074877 5801154.261038382;PersonalVehicle
16103;07:00:03;626804.525026867 5801309.752946712;630377.2935286161 5799276.878224155;PersonalVehicle
39712;07:00:03;627498.1724596496 5810012.366902584;627411.1971072122 5806820.351844081;PersonalVehicle
20647;07:00:03;631584.6611225225 5803221.348209416;633692.6399642813 5806310.046305737;PersonalVehicle
39653;07:00:04;627498.1724596496 5810012.366902584;631067.1622477788 5800156.840483306;PersonalVehicle
6625;07:00:04;625495.2665135056 5806727.877555828;626181.5651357125 5801880.890915174;PersonalVehicle
43330;07:00:04;625495.2665135056 5806727.877555828;625646.8030724141 5806901.830403392;PersonalVehicle
40286;07:00:04;627498.1724596496 5810012.366902584;628179.9127415279 5808859.367888284;PersonalVehicle
19500;07:00:04;629772.2951162385 5802466.755819694;630213.5861772824 5802668.390269957;PersonalVehicle
40706;07:00:05;627498.1724596496 5810012.366902584;628578.9402645028 5807960.518716605;PersonalVehicle
35780;07:00:05;631913.9173730104 5808124.069404383;630965.684483718 5801683.091775081;PersonalVehicle
27863;07:00:05;629466.183971583 5805716.01710871;630310.9932183626 5806160.422321548;PersonalVehicle
14550;07:00:06;626000.294386875 5802113.356198133;625506.3564786583 5800324.4571683705;PersonalVehicle
15434;07:00:06;628165.4275341383 5802250.552158802;630377.2935286161 5799276.878224155;PersonalVehicle
15102;07:00:06;627276.6531552264 5801993.154232629;626951.1710040068 5801743.57861758;PersonalVehicle
16545;07:00:06;627630.5641012421 5801073.347240854;629108.4260458086 5800886.099310421;PersonalVehicle
36809;07:00:06;631913.9173730104 5808124.069404383;628796.9098383952 5800354.997978297;PersonalVehicle
24777;07:00:06;630315.6790423725 5806174.12047581;631011.6062114218 5808122.76757981;PersonalVehicle
4278;07:00:06;626431.6476350254 5805166.712740905;627328.9790142471 5807827.774610744;PersonalVehicle
31040;07:00:07;633672.1088953787 5801895.047217489;633480.6171529355 5802462.518826877;PersonalVehicle
26661;07:00:08;632980.4445235316 5806518.98271256;631552.3702811857 5803354.946950363;PersonalVehicle
28112;07:00:08;630986.115061322 5807024.078680852;630911.976314703 5806848.937673055;PersonalVehicle
38732;07:00:09;625495.2665135056 5806727.877555828;625842.6362438567 5806060.323055961;PersonalVehicle
906;07:00:09;629132.3680285309 5802762.4479943095;630965.684483718 5801683.091775081;PersonalVehicle
28063;07:00:10;631293.9784889496 5805552.188221367;633265.049803821 5806091.417174086;PersonalVehicle
26968;07:00:10;631514.6569520509 5806720.693037877;631161.5001696765 5805483.49433852;PersonalVehicle
21865;07:00:10;631503.2437078628 5804268.790417083;625506.3564786583 5800324.4571683705;PersonalVehicle
20423;07:00:10;630509.4740896622 5802079.732625979;631125.7323015463 5801142.316849425;PersonalVehicle
27620;07:00:10;630045.0543255677 5807867.838641724;630016.2226552009 5806686.630689416;PersonalVehicle
21297;07:00:10;632823.1023248059 5804317.713688857;632357.7464165204 5800288.209577048;PersonalVehicle
1974;07:00:11;625495.2665135056 5806727.877555828;625588.4841157346 5805477.9298003195;PersonalVehicle
2842;07:00:11;627804.611408465 5805411.99415738;625506.3564786583 5800324.4571683705;PersonalVehicle
16348;07:00:11;627507.6710863721 5801310.09384155;630383.8668532941 5800673.830420761;PersonalVehicle
14797;07:00:11;625798.8798435125 5801119.532794576;630311.6526074877 5801154.261038382;PersonalVehicle
