ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
1040303;07:00:02;626592.2832221197 5802782.201807101;627119.3937449739 5802857.838660972;PersonalVehicle
1034483;07:00:04;627345.0816454801 5804263.484180098;625506.3564786583 5800324.4571683705;PersonalVehicle
985601;07:00:05;631913.9173730104 5808124.069404383;628408.4006607257 5802607.606304967;PersonalVehicle
396330;07:00:09;634266.520278123 5803737.794336154;629039.4545156191 5804289.138790642;PersonalVehicle
1059793;07:00:10;629189.7559127033 5804304.686925133;630110.1454951254 5804014.466269681;PersonalVehicle
913409;07:00:15;625495.2665135056 5806727.877555828;627660.7647088076 5801088.527783831;PersonalVehicle
1061246;07:00:16;628297.4686235032 5805855.327291947;625495.2665135056 5806727.877555828;PersonalVehicle
1067271;07:00:17;628428.4906071726 5803766.170983123;629442.49166183 5801435.709680476;PersonalVehicle
943104;07:00:17;625506.3564786583 5800324.4571683705;629203.2792392232 5803359.274743048;PersonalVehicle
1088592;07:00:18;629669.4324478038 5801093.903790523;625506.3564786583 5800324.4571683705;PersonalVehicle
1053153;07:00:18;628633.8743905982 5805460.335257303;625495.2665135056 5806727.877555828;PersonalVehicle
985214;07:00:19;627731.4910166614 5801906.898861252;631913.9173730104 5808124.069404383;PersonalVehicle
1036267;07:00:20;627262.538991403 5803303.718161446;625506.3564786583 5800324.4571683705;PersonalVehicle
1003790;07:00:20;632390.4103810942 5806190.439697383;631913.9173730104 5808124.069404383;PersonalVehicle
1122318;07:00:21;633672.1088953787 5801895.047217489;632651.1802417733 5802388.738728799;PersonalVehicle
1002508;07:00:22;632634.4526548025 5806020.619035369;632634.4526548025 5806020.619035369;PersonalVehicle
1003201;07:00:22;632186.8381590473 5806396.434960993;628665.9203167588 5805105.5497775925;PersonalVehicle
1034283;07:00:22;627258.2773416215 5804301.914670364;628771.5909970482 5805725.670111379;PersonalVehicle
1068739;07:00:23;629201.6105258662 5802950.915010516;630933.1489238311 5801816.86748252;PersonalVehicle
1085327;07:00:26;629801.2420331914 5801562.778137213;626766.137977823 5801850.011851362;PersonalVehicle
1080968;07:00:27;626635.753151762 5801478.855549541;632357.7464165204 5800288.209577048;PersonalVehicle
398503;07:00:27;628818.460170952 5802960.853163572;634266.520278123 5803737.794336154;PersonalVehicle
1899585;07:00:28;632357.7464165204 5800288.209577048;629376.3544056921 5801110.696813292;PersonalVehicle
1052667;07:00:28;625545.8778219663 5801285.646479925;625751.6355673543 5801397.678333372;PersonalVehicle
1072971;07:00:29;628116.117504026 5802808.530241663;629295.8331933196 5801123.217142993;PersonalVehicle
1118133;07:00:30;632357.7464165204 5800288.209577048;625497.6214312972 5803299.05760023;PersonalVehicle
1101916;07:00:31;632204.91588431 5803862.007819516;626283.0363427653 5803376.22928438;PersonalVehicle
1005623;07:00:31;632590.9046086059 5806514.608017504;632813.8621942876 5806499.124745679;PersonalVehicle
1076739;07:00:32;629010.3166386795 5801806.855381383;625506.3564786583 5800324.4571683705;PersonalVehicle
1167114;07:00:33;634266.520278123 5803737.794336154;632233.2387539033 5802762.635470422;PersonalVehicle
1043317;07:00:34;626369.446488712 5805354.005977192;625725.8350176855 5805310.570012864;PersonalVehicle
924182;07:00:35;625495.2665135056 5806727.877555828;627714.4768055525 5802541.291432247;PersonalVehicle
1087621;07:00:35;629108.9187954685 5800546.578460949;625506.3564786583 5800324.4571683705;PersonalVehicle
1160832;07:00:35;633672.1088953787 5801895.047217489;628683.4937098689 5803277.595905631;PersonalVehicle
1058583;07:00:37;629491.3883783205 5804273.629019598;625506.3564786583 5800324.4571683705;PersonalVehicle
1037808;07:00:38;626888.38530846 5803508.90019792;628823.1916302599 5804515.424383389;PersonalVehicle
1040119;07:00:38;627756.9251377167 5802969.100407471;625506.3564786583 5800324.4571683705;PersonalVehicle
1099892;07:00:40;631731.526797549 5801284.858666635;632357.7464165204 5800288.209577048;PersonalVehicle
1006937;07:00:43;631695.9623960285 5807055.123471419;627498.1724596496 5810012.366902584;PersonalVehicle
1008438;07:00:44;632145.1243551704 5807050.168553969;628660.6867328162 5808590.8919371655;PersonalVehicle
1109344;07:00:45;632357.7464165204 5800288.209577048;627770.9541550603 5801291.413984686;PersonalVehicle
1018880;07:00:45;625495.2665135056 5806727.877555828;626877.0952006971 5803186.944473943;PersonalVehicle
1104185;07:00:47;632025.747228342 5803214.919672211;625506.3564786583 5800324.4571683705;PersonalVehicle
906014;07:00:48;625495.2665135056 5806727.877555828;629193.7677959627 5808519.961613885;PersonalVehicle
1094501;07:00:49;630456.927166062 5801824.546251789;631943.1949490673 5801339.635731801;PersonalVehicle
1059898;07:00:49;629421.0978557081 5804563.499119924;625495.2665135056 5806727.877555828;PersonalVehicle
1006235;07:00:49;633336.3279165563 5806783.721143103;630294.6939223426 5802572.204864191;PersonalVehicle
1111544;07:00:52;628802.1398166951 5803504.37530172;632357.7464165204 5800288.209577048;PersonalVehicle
1112880;07:00:52;633672.1088953787 5801895.047217489;627410.871656752 5803722.439695178;PersonalVehicle
1161141;07:00:53;633672.1088953787 5801895.047217489;628161.7895875721 5804259.229274458;PersonalVehicle
406213;07:00:54;634266.520278123 5803737.794336154;631549.8316992848 5802125.215056393;PersonalVehicle
1041638;07:00:57;625860.6634004413 5804583.844267096;631054.1974865266 5804274.141294721;PersonalVehicle
1392154;07:00:59;625506.3564786583 5800324.4571683705;631253.1432889404 5800331.323997678;PersonalVehicle
404985;07:00:59;634266.520278123 5803737.794336154;630375.2945599889 5803849.098752337;PersonalVehicle
1107655;07:00:59;632462.5593855355 5802952.255700549;631662.6249450247 5803172.417869782;PersonalVehicle
1033598;07:01:00;627183.0414973344 5804388.941644715;627171.8656883317 5805105.523093144;PersonalVehicle
1160495;07:01:01;633672.1088953787 5801895.047217489;628697.8370363597 5804562.800142918;PersonalVehicle
1105518;07:01:01;631648.1375321232 5803421.945881226;627625.7079801325 5805809.144079991;PersonalVehicle
1008364;07:01:02;631444.8810621292 5806474.859145017;630192.5980796374 5805148.549727231;PersonalVehicle
1042065;07:01:03;625972.3288686002 5804662.950124209;625495.2665135056 5806727.877555828;PersonalVehicle
864926;07:01:05;627498.1724596496 5810012.366902584;627809.7570089768 5802059.17526211;PersonalVehicle
1051808;07:01:05;625909.7017107637 5801769.15937062;625506.3564786583 5800324.4571683705;PersonalVehicle
1004412;07:01:07;632978.0705647002 5806581.0614091735;631913.9173730104 5808124.069404383;PersonalVehicle
850981;07:01:07;631913.9173730104 5808124.069404383;627232.340564949 5801195.722883841;PersonalVehicle
1006651;07:01:08;632509.9681486042 5806058.681335546;631441.6461739292 5807250.673749555;PersonalVehicle
995302;07:01:08;631913.9173730104 5808124.069404383;628369.3759001934 5806061.1205116315;PersonalVehicle
1062210;07:01:09;627772.86589198 5805974.62479314;626105.5767238834 5805303.779615377;PersonalVehicle
1083459;07:01:09;628142.6257705332 5801270.772995863;628644.8345144661 5802032.7843404785;PersonalVehicle
1128898;07:01:11;625506.3564786583 5800324.4571683705;627946.165147681 5801981.662345577;PersonalVehicle
817758;07:01:11;628813.8259080674 5804356.086998157;630377.2935286161 5799276.878224155;PersonalVehicle
1004171;07:01:11;630528.7033851995 5805280.095213591;625495.2665135056 5806727.877555828;PersonalVehicle
1164127;07:01:14;634266.520278123 5803737.794336154;628922.1998894039 5801291.8651097845;PersonalVehicle
1058031;07:01:14;629560.1535483045 5804138.665666063;629239.9228560411 5804550.363696381;PersonalVehicle
1045989;07:01:14;626779.215760252 5804149.894974848;627323.6894456033 5805028.045677861;PersonalVehicle
930994;07:01:15;625506.3564786583 5800324.4571683705;628615.1059485044 5803881.795338176;PersonalVehicle
1003731;07:01:15;632509.9681486042 5806058.681335546;631913.9173730104 5808124.069404383;PersonalVehicle
1091964;07:01:18;630377.2935286161 5799276.878224155;628563.378934398 5802472.078472148;PersonalVehicle
